region,country,year,rp,impact
NA2,USA,2017,22.0,181775300000.0
NA2,USA,2022,14.666666666666666,101000000000.0
NA2,USA,2004,11.0,82214761000.0
NA2,USA,2021,8.8,74575932000.0
NA2,USA,2012,7.333333333333333,66550151000.0
NA2,USA,1992,6.285714285714286,65698733000.0
NA2,USA,2008,5.5,52386376000.0
NA2,USA,2020,4.888888888888889,37795848000.0
NA2,USA,2018,4.4,35109485000.0
NA2,USA,1989,4.0,17705657000.0
NA2,USA,2016,3.6666666666666665,12925201000.0
NA2,USA,1999,3.3846153846153846,12706746000.0
NA2,USA,1995,3.142857142857143,11139002000.0
NA2,USA,2011,2.933333333333333,10473371000.0
NA2,USA,2001,2.75,9916769000.0
NA2,USA,1998,2.588235294117647,9874351000.0
NA2,USA,1985,2.4444444444444446,9522392000.0
NA2,USA,1983,2.3157894736842106,8814905000.0
NA2,USA,2019,2.2,6524875000.0
NA2,USA,1996,2.0952380952380953,6343809000.0
NA2,USA,2003,2.0,5440795000.0
NA2,USA,2002,1.9130434782608696,3742077000.0
NA2,USA,2023,1.8333333333333333,3500000000.0
NA2,USA,1980,1.76,3231662000.0
NA2,USA,1991,1.6923076923076923,3223268000.0
NA2,USA,2015,1.6296296296296295,2469484000.0
NA2,USA,1994,1.5714285714285714,1480797000.0
NA2,USA,2009,1.5172413793103448,818474000.0
NA2,USA,1982,1.4666666666666666,697519000.0
NA2,USA,2000,1.4193548387096775,372192000.0
NA2,USA,2010,1.375,134211000.0
NA2,USA,2014,1.3333333333333333,81590000.0
NA2,USA,2006,1.2941176470588236,47704000.0
NI,BGD,1991,44.0,3824945000.0
NI,BGD,2007,22.0,3246350000.0
NI,BGD,2020,14.666666666666666,1696149000.0
NI,BGD,2016,11.0,731615000.0
NI,BGD,2009,8.8,368313000.0
NI,BGD,1994,7.333333333333333,251735000.0
NI,BGD,2023,6.285714285714286,251000000.0
NI,BGD,1985,5.5,136034000.0
NI,BGD,2015,4.888888888888889,49390000.0
NI,BGD,2019,4.4,6622000.0
NI,IND,2020,44.0,16871026000.0
NI,IND,2014,22.0,8653447000.0
NI,IND,1999,14.666666666666666,5253117000.0
NI,IND,2021,11.0,4752123000.0
NI,IND,1996,8.8,2799299000.0
NI,IND,1982,7.333333333333333,2260630000.0
NI,IND,2018,6.285714285714286,2092001000.0
NI,IND,2019,5.5,2071934000.0
NI,IND,1983,4.888888888888889,1663079000.0
NI,IND,1990,4.4,1551767000.0
NI,IND,2016,4.0,1219359000.0
NI,IND,2013,3.6666666666666665,1124945000.0
NI,IND,1998,3.3846153846153846,842013000.0
NI,IND,1986,3.142857142857143,728759000.0
NI,IND,2011,2.933333333333333,488703000.0
NI,IND,2009,2.75,409237000.0
NI,IND,1993,2.588235294117647,202588000.0
NI,IND,2023,2.4444444444444446,125000000.0
NI,IND,1984,2.3157894736842106,98600000.0
NI,IND,1995,2.2,92761000.0
NI,IND,2003,2.0952380952380953,44545000.0
NI,IND,1994,2.0,37711000.0
NI,IND,1988,1.9130434782608696,32171000.0
NI,IND,2002,1.8333333333333333,677000.0
NI,LKA,2017,44.0,413099000.0
NI,LKA,2012,22.0,72656000.0
NI,MMR,2008,44.0,5437091000.0
NI,MMR,2023,22.0,2240000000.0
NI,MMR,2010,14.666666666666666,76500000.0
NI,MMR,1994,11.0,19744000.0
NI,MMR,2004,8.8,1066000.0
NI,OMN,2007,44.0,5504681000.0
NI,OMN,2010,22.0,1342112000.0
NI,OMN,2002,14.666666666666666,81350000.0
NI,PAK,2007,44.0,2286560000.0
NI,PAK,2010,22.0,107369000.0
NI,PAK,1999,14.666666666666666,19213000.0
NI,SOM,2013,44.0,2513000.0
NI,TJK,1999,44.0,351000.0
NI,YEM,2015,44.0,246948000.0
OC,ASM,2004,44.0,232409000.0
OC,ASM,1989,22.0,11804000.0
OC,AUS,2011,44.0,3252600000.0
OC,AUS,2017,22.0,3223601000.0
OC,AUS,2013,14.666666666666666,2512521000.0
OC,AUS,2006,11.0,1716448000.0
OC,AUS,1999,8.8,878448000.0
OC,AUS,2015,7.333333333333333,840859000.0
OC,AUS,2021,6.285714285714286,739819000.0
OC,AUS,1990,5.5,348520000.0
OC,AUS,2000,4.888888888888889,254925000.0
OC,AUS,1989,4.4,254751000.0
OC,AUS,1995,4.0,188211000.0
OC,AUS,1986,3.6666666666666665,186900000.0
OC,AUS,2007,3.3846153846153846,141146000.0
OC,AUS,1996,3.142857142857143,87134000.0
OC,AUS,1988,2.933333333333333,50526000.0
OC,AUS,1982,2.75,20816000.0
OC,COK,1987,44.0,64391000.0
OC,FJI,2016,44.0,731615000.0
OC,FJI,1985,22.0,206772000.0
OC,FJI,1993,14.666666666666666,202588000.0
OC,FJI,1983,11.0,149415000.0
OC,FJI,2018,8.8,69928000.0
OC,FJI,1986,7.333333333333333,53400000.0
OC,FJI,2010,6.285714285714286,52915000.0
OC,FJI,1997,5.5,49227000.0
OC,FJI,2003,4.888888888888889,47726000.0
OC,FJI,2008,4.4,40778000.0
OC,FJI,2022,4.0,25000000.0
OC,FJI,1990,3.6666666666666665,22398000.0
OC,FJI,2009,3.3846153846153846,18143000.0
OC,FJI,2020,3.142857142857143,15966000.0
OC,FJI,2021,2.933333333333333,10800000.0
OC,FJI,2012,2.75,10707000.0
OC,FJI,1980,2.588235294117647,8012000.0
OC,FJI,2004,2.4444444444444446,6198000.0
OC,FJI,1999,2.3157894736842106,6149000.0
OC,FJI,1992,2.2,3337000.0
OC,FJI,2007,2.0952380952380953,920000.0
OC,FSM,1987,44.0,15454000.0
OC,FSM,2015,22.0,13582000.0
OC,FSM,2002,14.666666666666666,813000.0
OC,GUM,2023,44.0,4300000000.0
OC,GUM,1992,22.0,625702000.0
OC,GUM,1997,14.666666666666666,364641000.0
OC,GUM,2002,11.0,211508000.0
OC,GUM,2004,8.8,1549000.0
OC,GUM,1987,7.333333333333333,373000.0
OC,NCL,2003,44.0,63635000.0
OC,NCL,1981,22.0,644000.0
OC,NIU,2004,44.0,61976000.0
OC,NZL,2023,44.0,2800000000.0
OC,PNG,1993,44.0,3039000.0
OC,PYF,1983,44.0,108717000.0
OC,PYF,2010,22.0,14763000.0
OC,SLB,1986,44.0,53400000.0
OC,SLB,2015,22.0,2469000.0
OC,TKL,1990,44.0,5376000.0
OC,TON,2020,44.0,125515000.0
OC,TON,2001,22.0,84788000.0
