country,year,rp,impact
IRN,2019,17.0,2953364000.0
IRN,2020,11.333333333333334,2666346000.0
IRN,1993,8.5,2484333000.0
IRN,1991,6.8,931310000.0
IRN,1994,5.666666666666667,280364000.0
IRN,1990,4.857142857142857,173364000.0
IRN,1995,4.25,172847000.0
IRN,2002,3.7777777777777777,102598000.0
IRN,1998,3.4,90664000.0
IRN,1996,3.090909090909091,68905000.0
IRN,2014,2.8333333333333335,60574000.0
IRN,1997,2.6153846153846154,45580000.0
IRN,2001,2.4285714285714284,41320000.0
IRN,2006,2.2666666666666666,23228000.0
IRN,2003,2.125,1333000.0
IRQ,2020,34.0,113077000.0
IRQ,2006,17.0,1887000.0
ISR,1997,34.0,72928000.0
ITA,1994,34.0,18361882000.0
ITA,2023,17.0,9750000000.0
ITA,1992,11.333333333333334,1454341000.0
ITA,2003,8.5,1280655000.0
ITA,2002,6.8,1051036000.0
ITA,2013,5.666666666666667,979883000.0
ITA,2008,4.857142857142857,377878000.0
ITA,2014,4.25,363445000.0
ITA,2017,3.7777777777777777,149241000.0
ITA,2016,3.4,121936000.0
ITA,2000,3.090909090909091,84975000.0
ITA,2009,2.8333333333333335,27282000.0
ITA,2012,2.6153846153846154,19120000.0
ITA,2020,2.4285714285714284,11308000.0
JAM,2002,34.0,32540000.0
JAM,1993,17.0,22285000.0
JOR,1997,34.0,1823000.0
JPN,2018,34.0,11071871000.0
JPN,2020,17.0,6558442000.0
JPN,1990,11.333333333333334,3807742000.0
JPN,2012,8.5,1784528000.0
JPN,2015,6.8,1728639000.0
JPN,2017,5.666666666666667,835749000.0
JPN,1999,4.857142857142857,187988000.0
JPN,1995,4.25,142694000.0
JPN,2022,3.7777777777777777,141000000.0
JPN,2019,3.4,114471000.0
JPN,2021,3.090909090909091,108003000.0
JPN,2003,2.8333333333333335,11136000.0
JPN,2013,2.6153846153846154,2513000.0
KAZ,2008,34.0,176705000.0
KAZ,2011,17.0,87170000.0
KAZ,1993,11.333333333333334,74009000.0
KAZ,2000,8.5,2549000.0
KEN,2018,34.0,407911000.0
KEN,2012,17.0,127466000.0
KEN,2013,11.333333333333334,45225000.0
KEN,1997,8.5,21514000.0
KEN,2020,6.8,11308000.0
KEN,2001,5.666666666666667,63000.0
KGZ,2005,34.0,3986000.0
KGZ,2007,17.0,282000.0
KHM,2011,34.0,677842000.0
KHM,2013,17.0,628130000.0
KHM,1991,11.333333333333334,322327000.0
KHM,2000,8.5,271921000.0
KHM,2010,6.8,93948000.0
KHM,2001,5.666666666666667,24792000.0
KHM,1996,4.857142857142857,2799000.0
KHM,2007,4.25,1411000.0
KHM,2002,3.7777777777777777,163000.0
KOR,2002,34.0,561312000.0
KOR,2020,17.0,474922000.0
KOR,2022,11.333333333333334,423000000.0
KOR,1991,8.5,225629000.0
KOR,1996,6.8,223899000.0
KOR,1990,5.666666666666667,85114000.0
KOR,2011,4.857142857142857,67654000.0
KOR,2000,4.25,39089000.0
