region,year,rp,impact
WP2,2010,1.9130434782608696,381724000.0
WP2,1982,1.8333333333333333,359692000.0
WP2,2023,1.76,317520000.0
WP2,1981,1.6923076923076923,284477000.0
WP2,1994,1.6296296296296295,273280000.0
WP2,1986,1.5714285714285714,230849000.0
WP2,1985,1.5172413793103448,225907000.0
WP2,2004,1.4666666666666666,215159000.0
WP2,2016,1.4193548387096775,208210000.0
WP2,2001,1.375,160918000.0
WP2,2000,1.3333333333333333,141848000.0
WP2,2022,1.2941176470588236,87125000.0
WP2,1996,1.2571428571428571,70901000.0
WP2,2003,1.2222222222222223,56046000.0
WP2,2007,1.1891891891891893,14049000.0
WP2,1997,1.1578947368421053,13674000.0
WP2,2017,1.1282051282051282,12984000.0
WP2,1983,1.1,12693000.0
WP2,2002,1.0731707317073171,10842000.0
WP2,1999,1.0476190476190477,3162000.0
WP2,2005,1.0232558139534884,2997000.0
WP3,2023,44.0,25690000000.0
WP3,2013,22.0,12695771000.0
WP3,2019,14.666666666666666,11898166000.0
WP3,2006,11.0,10999690000.0
WP3,2005,8.8,10025318000.0
WP3,2014,7.333333333333333,9597874000.0
WP3,2018,6.285714285714286,9445935000.0
WP3,2015,5.5,9281171000.0
WP3,2016,4.888888888888889,6744468000.0
WP3,1997,4.4,6581225000.0
WP3,2001,4.0,5869075000.0
WP3,2017,3.6666666666666665,4317955000.0
WP3,1990,3.3846153846153846,4186277000.0
WP3,1994,3.142857142857143,3844148000.0
WP3,2012,2.933333333333333,3839285000.0
WP3,2007,2.75,3678740000.0
WP3,1986,2.588235294117647,3668587000.0
WP3,1996,2.4444444444444446,3582386000.0
WP3,2004,2.3157894736842106,3400922000.0
WP3,1993,2.2,2496143000.0
WP3,2009,2.0952380952380953,2390755000.0
WP3,2021,2.0,2160056000.0
WP3,1992,1.9130434782608696,1746543000.0
WP3,2008,1.8333333333333333,1711325000.0
WP3,1991,1.76,1488913000.0
WP3,1989,1.6923076923076923,1144966000.0
WP3,1999,1.6296296296296295,1057299000.0
WP3,2010,1.5714285714285714,964690000.0
WP3,2011,1.5172413793103448,912790000.0
WP3,2003,1.4666666666666666,855793000.0
WP3,2022,1.4193548387096775,463000000.0
WP3,2000,1.375,405252000.0
WP3,1987,1.3333333333333333,309074000.0
WP3,2020,1.2941176470588236,197884000.0
WP3,1998,1.2571428571428571,175943000.0
WP3,1995,1.2222222222222223,167085000.0
WP4,2019,44.0,30521529000.0
WP4,2004,22.0,24483862000.0
WP4,1991,14.666666666666666,22361958000.0
WP4,2018,11.0,19852447000.0
WP4,1990,8.8,8959394000.0
WP4,1999,7.333333333333333,8791505000.0
WP4,2003,6.285714285714286,7325983000.0
WP4,1986,5.5,7198066000.0
WP4,2002,4.888888888888889,6841494000.0
WP4,1998,4.4,6219943000.0
WP4,2017,4.0,4411200000.0
WP4,2001,3.6666666666666665,3879110000.0
WP4,2006,3.3846153846153846,3629303000.0
WP4,1993,3.142857142857143,3559304000.0
WP4,2000,2.933333333333333,3513388000.0
WP4,2011,2.75,3213569000.0
WP4,2022,2.588235294117647,2752400000.0
WP4,1996,2.4444444444444446,2425574000.0
WP4,2005,2.3157894736842106,1864949000.0
WP4,2009,2.2,1705154000.0
WP4,2007,2.0952380952380953,1679633000.0
WP4,2020,2.0,1356919000.0
WP4,1987,1.9130434782608696,1352201000.0
WP4,2012,1.8333333333333333,1247513000.0
WP4,2014,1.76,1206538000.0
WP4,1995,1.6923076923076923,1103529000.0
WP4,1994,1.6296296296296295,914168000.0
WP4,1982,1.5714285714285714,733911000.0
WP4,1992,1.5172413793103448,531222000.0
WP4,2016,1.4666666666666666,495059000.0
WP4,1981,1.4193548387096775,431298000.0
WP4,1989,1.375,416831000.0
WP4,2013,1.3333333333333333,333663000.0
WP4,2015,1.2941176470588236,316341000.0
WP4,1985,1.2571428571428571,308912000.0
WP4,1997,1.2222222222222223,273481000.0
WP4,2008,1.1891891891891893,194078000.0
WP4,2010,1.1578947368421053,98108000.0
WP4,1983,1.1282051282051282,36858000.0
WP4,1980,1.1,25640000.0
WP4,2021,1.0731707317073171,14040000.0
WP4,2023,1.0476190476190477,10000000.0
