year,emdat_eventcountry_id,country,type,emdat_impact_scaled,event_id
2022,2022-0318-BRA,BRA,Flood (General),459000.0,2022-0318
2022,2022-0409-BRA,BRA,Flood (General),264000.0,2022-0409
2022,2022-0190-BRA,BRA,Flood (General),136000.0,2022-0190
2022,2022-0265-BRA,BRA,Flood (General),93000.0,2022-0265
2022,2022-0020-BRA,BRA,Flood (General),90000.0,2022-0020
2022,2022-0065-BRA,BRA,Flood (General),72000.0,2022-0065
2022,2022-0089-BRA,BRA,Flood (General),27000.0,2022-0089
2023,2023-0028-BRA,BRA,Flood (General),,2023-0028
2023,2023-0092-BRA,BRA,Flood (General),,2023-0092
2023,2023-0125-BRA,BRA,Flood (General),,2023-0125
2023,2023-0157-BRA,BRA,Flood (General),,2023-0157
2023,2023-0179-BRA,BRA,Flood (General),,2023-0179
2023,2023-0325-BRA,BRA,Flood (General),,2023-0325
2023,2023-0663-BRA,BRA,Flood (General),,2023-0663
2000,2000-0048-BWA,BWA,Riverine flood,8498.0,2000-0048
1990,1990-0644-CAN,CAN,Riverine flood,19039.0,1990-0644
1995,1995-0110-CAN,CAN,Flood (General),140774.0,1995-0110
1996,1996-0116-CAN,CAN,Riverine flood,1361307.0,1996-0116
1997,1997-0082-CAN,CAN,Riverine flood,218785.0,1997-0082
2003,2003-0511-CAN,CAN,Riverine flood,23863.0,2003-0511
2003,2003-0231-CAN,CAN,Riverine flood,15909.0,2003-0231
2005,2005-0728-CAN,CAN,Riverine flood,534983.0,2005-0728
2011,2011-0131-CAN,CAN,Riverine flood,1040832.0,2011-0131
2012,2012-0068-CAN,CAN,Riverine flood,43339.0,2012-0068
2013,2013-0190-CAN,CAN,Riverine flood,7160686.0,2013-0190
2017,2017-0126-CAN,CAN,Flood (General),238785.0,2017-0126
2019,2019-0171-CAN,CAN,Flood (General),915772.0,2019-0171
2020,2020-0191-CAN,CAN,Riverine flood,1469996.0,2020-0191
2021,2021-0741-CAN,CAN,Flood (General),2160056.0,2021-0741
2022,2022-0304-CAN,CAN,Flood (General),36000.0,2022-0304
1997,1997-0352-CHE,CHE,Flood (General),124890.0,1997-0352
1999,1999-0182-CHE,CHE,Riverine flood,579775.0,1999-0182
2005,2005-0451-CHE,CHE,Riverine flood,3146960.0,2005-0451
2007,2007-0349-CHE,CHE,Riverine flood,494010.0,2007-0349
1993,1993-0010-CHL,CHL,Riverine flood,68880.0,1993-0010
1997,1997-0137-CHL,CHL,Riverine flood,332553.0,1997-0137
2001,2001-0053-CHL,CHL,Flood (General),14710.0,2001-0053
2002,2002-0322-CHL,CHL,Riverine flood,325398.0,2002-0322
2008,2008-0389-CHL,CHL,Riverine flood,31263.0,2008-0389
2012,2012-0070-CHL,CHL,Riverine flood,3951.0,2012-0070
2016,2016-0118-CHL,CHL,Riverine flood,121936.0,2016-0118
2017,2017-0055-CHL,CHL,Flood (General),2388.0,2017-0055
2023,2023-0362-CHL,CHL,Flood (General),,2023-0362
2023,2023-0539-CHL,CHL,Flood (General),,2023-0539
1990,1990-0024-CHN,CHN,Riverine flood,1325990.0,1990-0024
1990,1990-0039-CHN,CHN,Riverine flood,472608.0,1990-0039
1991,1991-0123-CHN,CHN,Riverine flood,16116340.0,1991-0123
1991,1991-0767-CHN,CHN,Riverine flood,1138888.0,1991-0767
1991,1991-0227-CHN,CHN,Flood (General),30342.0,1991-0227
1992,1992-0036-CHN,CHN,Riverine flood,354565.0,1992-0036
1992,1992-0216-CHN,CHN,Riverine flood,304508.0,1992-0216
1992,1992-0217-CHN,CHN,Riverine flood,158511.0,1992-0217
1992,1992-0210-CHN,CHN,Riverine flood,7717.0,1992-0210
1992,1992-0297-CHN,CHN,Riverine flood,7091.0,1992-0297
1993,1993-0568-CHN,CHN,Flood (General),12278842.0,1993-0568
1993,1993-0179-CHN,CHN,Riverine flood,54699.0,1993-0179
1994,1994-0065-CHN,CHN,Riverine flood,10780202.0,1994-0065
1994,1994-0066-CHN,CHN,Riverine flood,3573657.0,1994-0066
1994,1994-0789-CHN,CHN,Riverine flood,317878.0,1994-0789
1994,1994-0780-CHN,CHN,Riverine flood,187568.0,1994-0780
1994,1994-0785-CHN,CHN,Riverine flood,23890.0,1994-0785
1994,1994-0779-CHN,CHN,Riverine flood,1974.0,1994-0779
1995,1995-0139-CHN,CHN,Riverine flood,12905878.0,1995-0139
1996,1996-0103-CHN,CHN,Riverine flood,23509410.0,1996-0103
1996,1996-0169-CHN,CHN,Riverine flood,11781759.0,1996-0169
